,20200929,20201002,20201022,20201023,20201120,20201122,20201224,20201230,20210127,20210203,20210906
一,2.0,3.0,1.0,2.0,,7.0,2.0,1.0,4.0,2.0,2.0
七,,,,,,,,,,,2.0
万,7.0,4.0,3.0,4.0,1.0,3.0,5.0,3.0,2.0,4.0,4.0
三,1.0,,1.0,3.0,1.0,1.0,,,,2.0,1.0
上,4.0,2.0,4.0,4.0,5.0,2.0,6.0,1.0,1.0,5.0,1.0
下,2.0,1.0,,,4.0,1.0,1.0,,5.0,3.0,1.0
不,1.0,1.0,2.0,1.0,,2.0,,,3.0,4.0,3.0
与,,,,,,3.0,1.0,,1.0,,
世,2.0,2.0,4.0,3.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0
丘,,,,,,,,2.0,,,
両,,,,1.0,,,1.0,,,,
並,,1.0,,,,,,3.0,,,
中,5.0,7.0,7.0,6.0,6.0,4.0,4.0,8.0,4.0,6.0,12.0
丹,,,,,1.0,,,,,,
主,,2.0,,4.0,,,,2.0,,2.0,1.0
久,,1.0,,1.0,,,,,,,
乗,,,3.0,,1.0,,,,,,
九,,,,,1.0,,,,1.0,,1.0
乱,,,1.0,,,,1.0,,,1.0,
了,,,,1.0,,,,,,,3.0
予,,,,,,1.0,,2.0,,1.0,1.0
争,,1.0,,,,,,1.0,,,
事,3.0,4.0,6.0,6.0,3.0,3.0,6.0,2.0,1.0,7.0,3.0
二,1.0,,,1.0,,,,,,1.0,
互,,1.0,,,,,,,,,
五,2.0,,,2.0,,,1.0,,,,1.0
井,2.0,1.0,,1.0,1.0,,,3.0,,,1.0
亜,1.0,,,,,,,,,1.0,
亡,,,,4.0,,,,,,1.0,
交,1.0,1.0,1.0,1.0,1.0,,4.0,,3.0,,
京,,1.0,,,1.0,2.0,2.0,2.0,,,
亭,,1.0,,,,,,,,,
人,11.0,9.0,6.0,14.0,9.0,7.0,8.0,7.0,6.0,10.0,4.0
今,2.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,
介,1.0,,,,1.0,,,,,,
仏,,,,,,1.0,2.0,,,1.0,1.0
仕,,2.0,1.0,1.0,,1.0,,,,,1.0
付,,1.0,1.0,,,1.0,,1.0,,,
仙,,,,1.0,,,,,1.0,,2.0
代,4.0,2.0,2.0,1.0,4.0,2.0,2.0,,2.0,1.0,2.0
令,,,,3.0,,,,,,,
以,1.0,1.0,,2.0,,,2.0,,1.0,1.0,
仲,,,,,1.0,,,,,,
件,,,1.0,,,,,1.0,,,
任,1.0,,1.0,,,,,1.0,,,1.0
企,1.0,1.0,1.0,,1.0,1.0,,,,2.0,6.0
伊,,,,,1.0,2.0,,,,,
伏,,,,,,,,1.0,,,
休,,1.0,1.0,1.0,,,1.0,,1.0,,
会,2.0,2.0,3.0,1.0,2.0,1.0,8.0,1.0,3.0,5.0,5.0
伝,1.0,,,1.0,,,,1.0,,,1.0
伸,,,,,,,,,,1.0,
位,,2.0,,,,1.0,,6.0,2.0,,2.0
低,,,1.0,,2.0,,,,2.0,,1.0
住,,1.0,,,3.0,,1.0,,1.0,1.0,1.0
佐,,,,,1.0,1.0,,,,,
体,1.0,1.0,1.0,2.0,3.0,2.0,,,1.0,1.0,
何,,2.0,,1.0,,2.0,,,,,
余,,1.0,,,1.0,,,,,,1.0
作,,,1.0,,,1.0,3.0,2.0,,1.0,
併,,,,,,,,,,,1.0
使,1.0,2.0,,,2.0,1.0,,2.0,,1.0,2.0
例,,,,,1.0,,,,1.0,,
供,,,,,1.0,,,,,,
価,,,,,1.0,1.0,,2.0,1.0,2.0,1.0
侵,,,1.0,,,,,,,,
便,1.0,,,,,,,1.0,,1.0,
係,,,,,,,1.0,,1.0,,
促,1.0,,,,2.0,,,,,,
保,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0
信,,1.0,1.0,1.0,,,,1.0,2.0,3.0,1.0
修,,2.0,1.0,1.0,,,,3.0,,,1.0
俳,,,,,,,,,,,1.0
個,1.0,,,,,,,1.0,,1.0,1.0
倍,1.0,,2.0,2.0,,,5.0,,,,
倒,1.0,,,,,,2.0,,,,
候,,1.0,1.0,1.0,,,,,,,1.0
値,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0
偏,1.0,1.0,,,1.0,,,,,1.0,
停,,,,,2.0,2.0,2.0,,,,
健,,1.0,,,,,,1.0,,1.0,2.0
側,,,,,1.0,,1.0,,,,
偶,,,,2.0,,,,,,,
備,1.0,,1.0,1.0,1.0,3.0,1.0,,3.0,,2.0
催,,,,1.0,,,,,1.0,,
傷,,,,,,,,,,,1.0
働,,1.0,,1.0,,,,,,,1.0
像,,,,1.0,,,,,,,
僚,,,,,,,,,1.0,,
億,,2.0,2.0,,4.0,1.0,,,2.0,1.0,1.0
償,,,,,,,1.0,,,,
優,1.0,3.0,,,,,1.0,,1.0,,1.0
元,,,,2.0,,,1.0,3.0,1.0,1.0,
充,,1.0,,,,,,1.0,,1.0,
兆,2.0,1.0,,1.0,,,,1.0,1.0,1.0,
先,,1.0,1.0,1.0,,1.0,3.0,,,1.0,2.0
